id,created_at,text,source,geo,place,retweet_count,favorite_count,favorited,retweeted
1.6042562628706877e+18,Sat Dec 17 23:24:33 +0000 2022,"Another graph for the $BTC intraday traders!

Chart data is kept in dictionaries on class startup! We also use it t… https://t.co/AUyuY88bts","<a href=""https://parcae.io"" rel=""nofollow"">ParcaeBot</a>",,,0.0,0.0,False,False
1.6042561646988206e+18,Sat Dec 17 23:24:09 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart #binance #bnb https://t.co/9ZNHk5mAvo,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,1.0,5.0,False,False
1.6042555876380836e+18,Sat Dec 17 23:21:52 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False
1.6042555557278147e+18,Sat Dec 17 23:21:44 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,107.0,0.0,False,False
1.6042550080104407e+18,Sat Dec 17 23:19:34 +0000 2022,THE DAILY HODL: Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Ou… https://t.co/bMs0AS6n88,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,1.0,False,False
1.6042547830699008e+18,Sat Dec 17 23:18:40 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,107.0,0.0,False,False
1.60425467481054e+18,Sat Dec 17 23:18:14 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/roye4NVxiZ,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,0.0,1.0,False,False
1.6042544381972808e+18,Sat Dec 17 23:17:18 +0000 2022,🔥 BTC in descending channel❓ Check the post https://t.co/njo9xfceVR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,2.0,False,False
1.604254270240346e+18,Sat Dec 17 23:16:38 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,75.0,0.0,False,False
1.6042535722579558e+18,Sat Dec 17 23:13:51 +0000 2022,"RT @XForceGlobal: $BTC
CME + RSI Analysis

Bulls are going to love this. Many people are disregarding gaps via the CME chart. We have a not…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,6.0,0.0,False,False
1.6042532862191084e+18,Sat Dec 17 23:12:43 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,107.0,0.0,False,False
1.6042075701885256e+18,Sat Dec 17 20:11:04 +0000 2022,"0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net… https://t.co/I67T2Bpc5s","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,107.0,405.0,False,False
1.6037742914214339e+18,Fri Dec 16 15:29:22 +0000 2022,"Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZHaHiOev","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,604.0,5090.0,False,False
1.6016166411580498e+18,Sat Dec 10 16:35:38 +0000 2022,R.I.P #Bitcoin Rainbow Chart https://t.co/yh4PxtmYJr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,704.0,3745.0,False,False
1.6042650219990467e+18,Sat Dec 17 23:59:21 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,107.0,0.0,False,False
1.6042649926095503e+18,Sat Dec 17 23:59:14 +0000 2022,ETHUSD Weakness.. alike the Crypto Market for COINBASE:ETHUSD by WillSebastian #bitcoin #crypto #btc $btc… https://t.co/rpDqjhOSo7,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False
1.6042648557664584e+18,Sat Dec 17 23:58:42 +0000 2022,"RT @CryptoTony__: $BTC.D / #Bitcoin Dominance - Update 

This chart paints a very clear picture as too why we are not going to see an #Altc…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,25.0,0.0,False,False
1.6042645043003924e+18,Sat Dec 17 23:57:18 +0000 2022,🔥 ETHUSD Weakness.. (alike the Crypto Market)❓ Check the post https://t.co/O9iCSUt6gO #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False
1.6042643435286938e+18,Sat Dec 17 23:56:39 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,107.0,0.0,False,False
1.6042642296994898e+18,Sat Dec 17 23:56:12 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,75.0,0.0,False,False
1.6042638609740186e+18,Sat Dec 17 23:54:44 +0000 2022,"RT @TATrader_Alan: #Bitcoin macro chart appears a very simple chart pattern.

&lt;Breakout and Retest (Falling wedge form)&gt;

#BTC #Cryptos htt…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,83.0,0.0,False,False
1.604262262466052e+18,Sat Dec 17 23:48:23 +0000 2022,"Fishtoken's chart started to rise in December with volume at the bottom. The time to buy is now❣️

Check the Fish p… https://t.co/yhFVwm8SJp","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,2.0,11.0,False,False
1.604261992214274e+18,Sat Dec 17 23:47:19 +0000 2022,🔥 BCTUSDT Shorts❓ Check the post https://t.co/vO7qBQCIoi #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False
1.6042606106316923e+18,Sat Dec 17 23:41:49 +0000 2022,"RT @CryptoTony__: $BTC.D / #Bitcoin Dominance - Update 

This chart paints a very clear picture as too why we are not going to see an #Altc…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,25.0,0.0,False,False
1.6042605459555246e+18,Sat Dec 17 23:41:34 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,10.0,0.0,False,False
1.6042599008589824e+18,Sat Dec 17 23:39:00 +0000 2022,"📉 CBBI: 4

📉 #Bitcoin  price: $16,757

📈 Pi Cycle Top Indicator: 4%
📉 RUPL/NUPL Chart: 9%
〰️️ RHODL Ratio: 0%
〰️️ P… https://t.co/M24JBxTste","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0.0,0.0,False,False
1.6042597099758592e+18,Sat Dec 17 23:38:15 +0000 2022,"RT @TATrader_Alan: #Bitcoin macro chart appears a very simple chart pattern.

&lt;Breakout and Retest (Falling wedge form)&gt;

#BTC #Cryptos htt…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,83.0,0.0,False,False
1.6042596266477076e+18,Sat Dec 17 23:37:55 +0000 2022,A BUY STEP FOR POLKADOT  for KUCOIN:DOTUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/srr2MGELHa https://t.co/1cIfWgBbwC,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,3.0,False,False
1.6042594792892006e+18,Sat Dec 17 23:37:20 +0000 2022,🔥 A BUY STEP FOR POLKADOT !!!❓ Check the post https://t.co/vtHzWZqFIR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False
1.6042594582296003e+18,Sat Dec 17 23:37:15 +0000 2022,"PUMP : 1-Hour Chart (1x!) (NORMAL)
Coin    : #TKOUSDT
 
Entry   : 0.268
R1        : 0.284 (% 5.6)
R2       : 0.303… https://t.co/WAVJ71Geni","<a href=""https://twitter.com/home"" rel=""nofollow"">BinanceTW</a>",,,1.0,0.0,False,False
1.6042591452463145e+18,Sat Dec 17 23:36:00 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,107.0,0.0,False,False
1.604257928936145e+18,Sat Dec 17 23:31:10 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,107.0,0.0,False,False
1.6042579093317468e+18,Sat Dec 17 23:31:05 +0000 2022,Thoughts on $BTC #Bitcoin! See Baharmostofi's idea on TradingView below. https://t.co/9DVcotltrA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">CryptoCharts Feed</a>",,,0.0,0.0,False,False
1.6042578421685617e+18,Sat Dec 17 23:30:49 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,107.0,0.0,False,False
1.604257245831e+18,Sat Dec 17 23:28:27 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,604.0,0.0,False,False
1.6042572030949458e+18,Sat Dec 17 23:28:17 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,107.0,0.0,False,False
1.6042571599652045e+18,Sat Dec 17 23:28:07 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,604.0,0.0,False,False
1.604257152129958e+18,Sat Dec 17 23:28:05 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,75.0,0.0,False,False
1.6042570320051978e+18,Sat Dec 17 23:27:36 +0000 2022,BTC broke down the RSI Support for BINANCE:BTCUSDT by bOnchain #bitcoin #crypto #btc $btc https://t.co/nQzwj8p2z3 https://t.co/huwJyZcn1t,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,1.0,False,False
1.6042569935056773e+18,Sat Dec 17 23:27:27 +0000 2022,"RT @HolePleb: @BTCnHODL Lesson from this cycle. Whatever your ape-in amount is, consider only 1/4 or 1/3 for an immediate buy and 12 mo. DC…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,2.0,0.0,False,False
1.6042569563189821e+18,Sat Dec 17 23:27:18 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/sddnQhMJrr #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,1.0,False,False
1.6042569253232353e+18,Sat Dec 17 23:27:11 +0000 2022,"RT @PeterLBrandt: Please all be aware that Bitcoin $BTC is developing the infamous ""three blind mice"" chart construction. https://t.co/YeZH…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,604.0,0.0,False,False
1.6042562628706877e+18,Sat Dec 17 23:24:33 +0000 2022,"Another graph for the $BTC intraday traders!

Chart data is kept in dictionaries on class startup! We also use it t… https://t.co/AUyuY88bts","<a href=""https://parcae.io"" rel=""nofollow"">ParcaeBot</a>",,,0.0,0.0,False,False
1.6042561646988206e+18,Sat Dec 17 23:24:09 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart #binance #bnb https://t.co/9ZNHk5mAvo,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,1.0,5.0,False,False
1.6042555876380836e+18,Sat Dec 17 23:21:52 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False
1.6042555557278147e+18,Sat Dec 17 23:21:44 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,107.0,0.0,False,False
1.6042550080104407e+18,Sat Dec 17 23:19:34 +0000 2022,THE DAILY HODL: Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Ou… https://t.co/bMs0AS6n88,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",,,0.0,1.0,False,False
1.6042547830699008e+18,Sat Dec 17 23:18:40 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,107.0,0.0,False,False
1.60425467481054e+18,Sat Dec 17 23:18:14 +0000 2022,Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook https://t.co/roye4NVxiZ,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">Jetpack.com</a>",,,0.0,1.0,False,False
1.6042544381972808e+18,Sat Dec 17 23:17:18 +0000 2022,🔥 BTC in descending channel❓ Check the post https://t.co/njo9xfceVR #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,2.0,False,False
1.604254270240346e+18,Sat Dec 17 23:16:38 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,75.0,0.0,False,False
1.6042535722579558e+18,Sat Dec 17 23:13:51 +0000 2022,"RT @XForceGlobal: $BTC
CME + RSI Analysis

Bulls are going to love this. Many people are disregarding gaps via the CME chart. We have a not…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,6.0,0.0,False,False
1.6042532862191084e+18,Sat Dec 17 23:12:43 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,107.0,0.0,False,False
1.6042531035655537e+18,Sat Dec 17 23:12:00 +0000 2022,"Top Crypto Analyst Forecasts Big Move for Binance Coin (BNB) on Bitcoin (BTC) Chart – Here’s the Outlook
https://t.co/ej2VyHf7Wq","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,0.0,0.0,False,False
1.6042519562052936e+18,Sat Dec 17 23:07:26 +0000 2022,BTC broke down the RSI Support for BITSTAMP:BTCUSD by bOnchain #bitcoin #crypto #btc $btc https://t.co/iWAAm9RLFT https://t.co/vpbbUfgyuK,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False
1.6042519288205885e+18,Sat Dec 17 23:07:20 +0000 2022,🔥 BTC broke down the RSI Support❓ Check the post https://t.co/llOFGPXB6I #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False
1.6042518578402468e+18,Sat Dec 17 23:07:03 +0000 2022,"RT @DSBatten: 0/10

This chart says 

""Bitcoin could be the world's first industry outside renewable energy generation to be net emission r…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,107.0,0.0,False,False
1.6042518272681902e+18,Sat Dec 17 23:06:55 +0000 2022,RT @MASTERBTCLTC: Pay attention to this chart. Litecoin transaction volume in dollars is catching up to Bitcoin and Bitcoin is in dire stra…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,10.0,0.0,False,False
1.6042516981968937e+18,Sat Dec 17 23:06:25 +0000 2022,Huge BTCUSDT Falling Wedge for BINANCE #Trading #bitcoin via https://t.co/yNOfVDx5DP https://t.co/hpPTwaL5X3,"<a href=""http://twinybots.com"" rel=""nofollow"">TwinyBots</a>",,,0.0,0.0,False,False
1.6042515910867845e+18,Sat Dec 17 23:05:59 +0000 2022,Instead of watching movies i watch live #Bitcoin chart. This is more exciting than any action movie 🙃,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,0.0,4.0,False,False
1.6042506259985613e+18,Sat Dec 17 23:02:09 +0000 2022,"PUMP : 1-Hour Chart (1x!) (NORMAL)
Coin    : #PLAUSDT
 
Entry   : 0.168
R1        : 0.181 (% 7.2)
R2       : 0.193… https://t.co/PQheFadoUB","<a href=""https://twitter.com/home"" rel=""nofollow"">BinanceTW</a>",,,0.0,0.0,False,False
1.604249641687855e+18,Sat Dec 17 22:58:14 +0000 2022,"RT @JohalMiles: Bitcoin 1Y+Hodl wave update.

What does this chart suggest is probable:
-The bottom is in, if not very close.
-With a suffi…","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,75.0,0.0,False,False
1.604249441539707e+18,Sat Dec 17 22:57:27 +0000 2022,SPOT OPPORTUNITY ON LTC  for KUCOIN:LTCUSDT by OmidBK2003 #bitcoin #crypto #btc $btc https://t.co/x4iIgvkRGI https://t.co/vbyJiQlcEF,"<a href=""http://bitcoinagile.com"" rel=""nofollow"">bitcoinagile</a>",,,0.0,0.0,False,False
1.604249411776807e+18,Sat Dec 17 22:57:19 +0000 2022,🔥 SPOT OPPORTUNITY ON LTC !!!❓ Check the post https://t.co/vNHocr6dr6 #bitcoin @tradingview #crypto $btc #btc,"<a href=""https://www.make.com"" rel=""nofollow"">Make (formerly Integromat)</a>",,,0.0,0.0,False,False
